wind_geschwindigkeit;niederschlag;schnee;schnee_tiefe
14,54;0,99;6,9;0
8,5;0;0;0
14,99;0;0;0
17,22;0,02;0;1,2
9,84;0;0;0
12,53;0;0;0
4,47;0;0;0
5,14;0,07;0;0
6,49;0;0;0
7,83;0;0;0
10,74;0,58;0;0
15,66;0;0;0
9,84;0;0;0
6,49;0,12;0,2;0
8,95;0;0;3,9
14,99;0;0;0
9,62;0;0;0
4,25;0;0;0
12,3;0,19;2,6;3,1
9,17;0;0;0
5,59;0;0;0
7,61;0;0;0
6,93;0;0;0
10,51;0;0;0
5,82;0;0;7,1
10,96;0;0;0
4,92;0;0;0
10,51;0;0;0
12,97;0;0;0
19,69;0;0;0
6,26;0;0;0
7,61;0;0;1,2
9,84;0;0;0
13,42;0;0;0
7,38;0;0;0
6,04;0;0;0
12,75;0,9;2,6;0
